****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 362422 ******* 

Variable    Labels

TAS        Sum of All TAS Flags                    
TAS23      TAS2023 = 1 if exists, else missing     
ER30001    1968 INTERVIEW NUMBER                   
ER30002    PERSON NUMBER                         68
ER32000    SEX OF INDIVIDUAL                       
ER32006    WHETHER SAMPLE OR NONSAMPLE             
ER35101    2023 INTERVIEW NUMBER                   
ER35102    SEQUENCE NUMBER                       23
ER35103    RELATION TO REFERENCE PERSON          23
TA230001   RELEASE NUMBER                          
TA230050   A23D HOW OFTEN INTERACT ON SOCIAL MEDIA 
TA230051   A23E HOW OFTEN FOLLOW INTERESTS         
TA230057   B17A HOW MUCH RESPONSIBLTY EARN OWN LIV 
TA230058   B17B HOW MUCH RESPONSIBLTY PAY OWN RENT 
TA230059   B17C HOW MUCH RESPONSBLTY FOR OWN BILLS 
TA230060   B17D HOW MUCH RESPONSIBLTY MANAGE MONEY 
TA230061   B18A FREQ OF HAPPINESS IN LAST MONTH    
TA230062   B18B FREQ INTEREST IN LIFE IN LAST MO   
TA230063   B18C FREQ FEELING SATISFIED IN LAST MO  
TA230065   B18E FREQ OF FEELING BELONG TO COMMUNTY 
TA230066   B18F FREQ FEELING SOCIETY GETTNG BETTER 
TA230067   B18G FREQ FEELING PEOPLE BASICALLY GOOD 
TA230069   B18J FREQ FEEL MANAGE DAILY RESONSIBLTY 
TA230070   B18K FREQ FEEL TRUSTING RELS W/OTHERS   
TA230072   B18M FREQ FEELING CONFIDENT OWN IDEAS   
TA230074   B18O FREQ OF FEELING LIFE HAD DIRECTION 
TA230113   B20F FEELING FAILURE, LET SELF DOWN     
TA230171   C15A SEX ASSIGNED AT BIRTH              
TA230239   D1 EMPLOYMENT STATUS 1ST MENTION        
TA230240   D1 EMPLOYMENT STATUS 2ND MENTION        
TA230241   D1 EMPLOYMENT STATUS 3RD MENTION        
TA230244   D9A TOTAL WEEKS WORKED LAST YEAR        
TA230427   WEEKS EMPLOYED PRIOR YEAR               
TA230428   WEEKS EMPLOYED YEAR BEFORE LAST         
TA230628   D86 WTR CHECKED WITH PUBLIC AGENCY      
TA230629   D86 WTR CHECKED WITH PRIVATE AGENCY     
TA230636   D86 WTR CONTACTED SCHOOL EMP CENTERS    
TA230685   D118 EDUCATIONAL ACTIVITY HOURS         
TA230691   E1 WHETHER WAGES/SALARY                 
TA230694   E2B/E2C WTR BONUS/OT/TIPS/COMMISSION    
TA230707   E3 WHETHER OTHER LABOR INCOME           
TA230715   E4 WHETHER UNEMP COMP                   
TA230716   E5 UNEMPLOYMENT COMP AMT                
TA230861   E39 UNEMPLOYMENT INCOME LAST MONTH      
TA230948   F23 CARRYOVER CREDIT CARD BALANCE       
TA230950   F25 VALUE OF CREDIT CARDS/LOANS         
TA230953   F31 WTR FEDERAL LOAN FOR EDUCATION      
TA230954   F31 WTR STATE LOAN FOR EDUCATION        
TA230955   F31 WTR PRIVATE LOAN FOR EDUCATION      
TA230956   F31 WTR OTHER TYPE LOAN FOR EDUCATION   
TA230986   G1 EDUCATIONAL ASPIRATION               
TA230988   G3 EDUCATIONAL EXPECTATION              
TA230990   G5 GRADE LEVEL COMPLETED                
TA230991   G6 WTR GRADUATED HIGH SCHOOL            
TA231000   G15A WTR ATTENDED COLLEGE               
TA231001   G15B WTR CURR ATTENDING COLLEGE         
TA231025   G18X 1ST MAJOR--COLLEGE #1              
TA231145   H1 HEALTH LEVEL                         
TA231146   H2 COMPARE HEALTH YR B4 LAST            
TA231147   H3 HEALTH YR B4 LAST: HOW MUCH BETTER   
TA231229   H10 WTR EVER HAD LEARNING DISORDER      
TA231234   H13 WTR EVER HAD OTR CHRONIC CONDITION  
TA232095   H68 WTR COVERED BY HEALTH INSURANCE     
TA232303   L7 RACE MENTION #1                      
TA232320   SUBSCALE: LANG/FLOUR EMOTION WELLBEING  
TA232321   SUBSCALE: LANG/FLOUR SOCIAL WELLBEING   
TA232322   SUBSCALE: LANG/FLOUR PSYCH WELLBEING    
TA232325   SCALE: SOCIAL ANXIETY                   
TA232335   SCALE: FINANCIAL RESPONS (FINRESP)      
TA232392   ENROLLMENT STATUS                       
TA232393   HIGHEST EDUCATION LEVEL                 
TA232394   COMPLETED EDUCATION OF MOTHER           
TA232396   COMPLETED EDUCATION OF FATHER           

*** End of labels ******************************* 
