"id_person_unique","id_fam1968","employed","emp_2023","sex","age_2021","emp_2021","educ_yrs_2021","days_unemp_2021","flourish_2021","soc_anxiety_2021","fam_expend_2021","female","emp_2021_working","log_fam_expend_2021","age_2023","food_ranout_2023","food_notlast_2023"
"5_33",5,1,1,1,26,1,12,0,13,4,46060,0,1,10.737721883951,28,NA,NA
"7_48",7,1,2,2,24,1,12,0,14,4,26648,1,1,10.1905069054378,26,NA,NA
"7_51",7,1,1,2,19,3,10,0,15,4,37784,1,0,10.5396674774548,21,3,3
"7_206",7,1,1,1,26,1,12,0,17,4,21279.9,0,1,9.96556523579433,28,NA,NA
"14_33",14,1,1,2,26,3,17,0,12,3,42330,1,0,10.6532749571433,28,NA,NA
"16_34",16,1,1,2,23,1,16,0,11,4,58604,1,1,10.9785752961573,24,NA,NA
"18_41",18,1,1,1,26,1,12,0,16,3,82877.78,0,1,11.3251343373077,28,NA,NA
"18_45",18,1,1,2,22,1,12,0,16,3,39295.65,1,1,10.5788945524938,23,NA,NA
"22_32",22,1,1,1,21,1,14,0,11,2,34322,0,1,10.4435709623691,23,NA,NA
"39_31",39,1,1,2,26,1,16,0,14,5,47785,1,1,10.7744879885505,28,NA,NA
"41_32",41,0,3,2,21,1,12,0,7,5,29117.84,1,1,10.2791406663523,23,NA,NA
"41_34",41,1,1,2,19,1,10,0,12,5,47041.93,1,1,10.7588158680477,21,NA,NA
"41_35",41,1,1,1,19,1,12,0,10,4,20011.93,0,1,9.90413384364503,21,NA,NA
"41_37",41,0,3,2,16,1,12,NA,NA,NA,75330.3,1,1,11.2296509980716,18,NA,NA
"45_35",45,0,3,2,16,7,11,NA,NA,NA,42674.87,1,0,10.6613889340981,18,NA,NA
"47_39",47,1,1,2,24,1,16,0,13,4,75151.45,1,1,11.2272739961134,27,NA,NA
"47_40",47,1,1,2,24,1,16,0,12,3,59230,1,1,10.9892003324646,26,NA,NA
"51_34",51,1,1,1,18,1,11,0,4,4,52723.26,0,1,10.8728309701608,20,NA,NA
"53_43",53,1,1,1,21,1,12,0,11,4,40732.97,0,1,10.6148176670439,23,NA,NA
"53_45",53,1,1,2,17,7,11,0,8,5,44420,1,0,10.7014676095768,19,NA,NA
"53_205",53,1,1,1,24,8,12,0,15,3,55240,0,0,10.9194607101834,26,NA,NA
"68_31",68,1,1,1,21,8,12,0,10,4,81228.72,0,0,11.3050364690367,23,NA,NA
"84_36",84,1,1,2,25,1,14,0,13,5,19280,1,1,9.8668754340394,27,NA,NA
"90_32",90,1,1,2,25,1,16,0,13,2,81046.51,1,1,11.3027908049152,27,NA,NA
"105_41",105,1,1,2,23,3,12,0,18,2,34449.54,1,0,10.4472799512101,25,NA,NA
"113_32",113,1,1,2,20,1,13,0,9,5,59055.36,1,1,10.9862475211602,22,NA,NA
"117_33",117,1,1,1,24,1,16,0,15,2,76757.58,0,1,11.2484204507322,26,NA,NA
"119_32",119,1,1,2,26,1,11,0,5,5,37322.26,1,1,10.5273720037722,28,NA,NA
"119_33",119,0,3,2,22,3,13,0,12,5,29066.27,1,0,10.2773680778943,24,NA,NA
"122_38",122,1,1,1,25,1,12,0,16,2,42622.25,0,1,10.6601551580245,27,NA,NA
"122_42",122,1,1,2,17,1,12,NA,NA,NA,98866.94,1,1,11.5015402992336,19,2,2
"129_43",129,1,1,2,23,3,12,0,11,3,17610.58,1,0,9.7763119192145,25,NA,NA
"156_32",156,1,1,1,20,1,11,0,16,3,78854.86,0,1,11.2753769079556,22,NA,NA
"172_40",172,1,1,1,21,7,16,0,14,2,56380,0,0,10.9398875012969,23,NA,NA
"173_40",173,1,1,2,24,6,11,0,12,4,37131.03,1,0,10.522235218448,26,NA,NA
"173_42",173,1,1,1,20,1,13,0,12,2,40790,0,1,10.6162167478238,21,NA,NA
"174_41",174,1,1,2,25,1,16,0,17,2,90559.06,1,1,11.413768555981,26,NA,NA
"200_36",200,1,1,2,22,1,13,0,11,4,18899.55,1,1,9.84694630115342,24,NA,NA
"200_38",200,1,1,2,19,1,13,NA,NA,NA,76540,1,1,11.2455818239584,20,NA,NA
"200_39",200,1,1,2,18,1,11,0,8,4,99120,1,1,11.5040966050334,21,NA,NA
"200_41",200,0,3,1,17,7,11,0,12,2,76540,0,0,11.2455818239584,19,3,3
"200_42",200,1,1,2,16,1,9,NA,NA,NA,76540,1,1,11.2455818239584,18,3,3
"203_33",203,1,1,2,25,1,17,0,15,4,168307,1,1,12.0335509132144,27,NA,NA
"203_34",203,1,1,2,23,1,16,0,13,3,168307,1,1,12.0335509132144,25,NA,NA
"231_30",231,1,1,2,20,1,14,0,10,4,78766.43,1,1,11.2742548655306,22,NA,NA
"236_32",236,1,1,2,25,1,16,0,14,3,121938.05,1,1,11.7112766087147,27,NA,NA
"242_32",242,1,1,2,19,1,14,0,17,3,46623.1,1,1,10.7498728538107,20,NA,NA
"244_31",244,1,1,2,24,1,14,0,8,4,33590.58,1,1,10.422030719309,25,NA,NA
"245_35",245,0,3,2,23,1,16,0,14,3,36260.4,1,1,10.4985090936021,25,NA,NA
"250_33",250,1,1,1,22,1,16,0,11,3,105890,0,1,11.5701655421423,24,3,3
"250_34",250,1,1,2,20,1,12,0,13,3,41167.6,1,1,10.6254311088421,22,NA,NA
"257_40",257,1,1,1,26,1,11,NA,NA,NA,62051.63,0,1,11.0357381749078,28,NA,NA
"263_40",263,1,1,1,23,1,12,0,8,1,34228.12,0,1,10.4408320227509,25,NA,NA
"263_41",263,1,1,2,20,1,14,0,9,5,57680,1,1,10.9626831088404,22,NA,NA
"284_31",284,1,1,1,26,1,16,0,17,3,71898.33,0,1,11.1830222251678,28,NA,NA
"287_192",287,0,3,2,24,1,12,0,5,5,24577.04,1,1,10.1096086403149,26,NA,NA
"297_49",297,1,1,2,26,1,17,0,17,3,46049.94,1,1,10.7375034540701,28,NA,NA
"297_51",297,1,1,1,22,1,11,0,11,2,73090.39,0,1,11.1994658549431,24,NA,NA
"297_54",297,1,1,1,23,1,NA,NA,NA,NA,58664,0,1,10.9795985758577,25,NA,NA
"297_55",297,1,1,2,22,1,14,0,10,3,70267.1,1,1,11.1600732052552,24,NA,NA
"297_57",297,1,1,1,22,1,14,0,14,4,51568,0,1,10.8506759957381,24,NA,NA
"297_59",297,1,1,2,19,1,NA,0,14,1,35405.84,1,1,10.4746603007962,22,NA,NA
"301_41",301,1,1,2,22,1,15,NA,NA,NA,46576,1,1,10.74886213604,24,NA,NA
"301_42",301,1,1,2,20,1,11,NA,NA,NA,46576,1,1,10.74886213604,22,NA,NA
"311_34",311,1,1,1,16,7,10,NA,NA,NA,28120,0,0,10.24427190717,18,NA,NA
"312_32",312,1,1,1,26,1,14,NA,NA,NA,37579.58,0,1,10.5342427065897,27,NA,NA
"312_33",312,0,3,2,22,1,12,0,8,4,30975.59,1,1,10.340987036899,24,NA,NA
"317_36",317,1,1,1,17,7,10,NA,NA,NA,141460,0,0,11.8597793397011,19,3,3
"323_34",323,1,1,1,25,1,14,0,10,4,31913.99,0,1,10.3708310843578,27,NA,NA
"327_33",327,1,1,2,25,1,12,0,14,3,15959.76,1,1,9.67788848891767,27,NA,NA
"331_33",331,1,1,2,22,7,16,0,16,3,72740.21,1,0,11.1946633529916,25,NA,NA
"343_33",343,1,1,1,24,1,13,0,12,3,124836,0,1,11.7347641653366,27,NA,NA
"350_31",350,1,1,2,25,6,17,0,17,3,47324,1,0,10.7647939760775,28,NA,NA
"354_33",354,1,1,1,21,1,12,0,7,2,73644.86,0,1,11.2070232084982,23,NA,NA
"356_31",356,1,1,2,26,7,15,0,9,4,29030.63,1,0,10.276141204254,28,NA,NA
"356_32",356,1,1,1,25,1,11,0,9,3,59675,0,1,10.9966852085027,27,NA,NA
"356_33",356,1,1,1,23,1,13,0,5,3,72355.11,0,1,11.1893551790813,25,NA,NA
"356_36",356,1,1,2,17,7,11,NA,NA,NA,51210,1,0,10.843709631702,20,3,3
"377_31",377,1,1,1,25,1,16,0,14,2,72610,0,1,11.1928717044871,27,NA,NA
"377_32",377,1,1,1,23,3,16,0,11,4,101224,0,0,11.5251010409004,25,NA,NA
"409_35",409,1,1,2,21,1,15,0,13,5,96469,1,1,11.4769873581646,23,NA,NA
"409_36",409,1,1,2,17,7,11,NA,NA,NA,96469,1,0,11.4769873581646,19,NA,NA
"419_40",419,0,3,2,20,7,12,0,18,5,7848,1,0,8.96814141412681,22,NA,NA
"433_38",433,1,1,1,26,1,16,0,13,3,38760,0,1,10.5651698654655,28,NA,NA
"433_39",433,1,1,2,25,1,14,0,12,3,31672.43,1,1,10.3632334380572,27,NA,NA
"433_40",433,0,3,1,24,3,10,0,13,4,41004,0,0,10.6214492894705,27,NA,NA
"452_42",452,1,1,2,19,7,13,0,6,4,59611,1,0,10.9956121750687,21,NA,NA
"455_35",455,1,1,2,22,1,12,0,12,2,62387.73,1,1,11.0411399290714,24,NA,NA
"461_32",461,1,1,2,18,7,12,0,15,3,35821.7,1,0,10.4863370496584,21,3,3
"473_36",473,1,1,1,26,1,17,0,15,4,43402,0,1,10.6782838421235,27,NA,NA
"473_37",473,1,1,2,22,1,16,0,17,3,61430.86,1,1,11.0256838720652,24,NA,NA
"478_45",478,1,1,1,17,1,10,0,7,4,91781,0,1,11.4271714789513,19,NA,NA
"486_31",486,1,1,2,24,1,16,0,15,4,31186.34,1,1,10.3477675222202,26,3,3
"486_32",486,1,1,1,24,1,16,0,16,3,57672.64,0,1,10.9625555023565,25,NA,NA
"490_32",490,1,1,1,26,1,14,0,15,2,61540.46,0,1,11.0274663730015,28,NA,NA
"490_33",490,1,1,1,20,7,15,0,11,2,120056,0,0,11.6957219089874,23,3,3
"495_39",495,1,2,1,18,7,11,NA,NA,NA,32002.82,0,0,10.3736105496572,20,NA,NA
"496_33",496,1,1,2,17,7,12,0,6,5,24913.21,1,0,10.1231936024063,20,NA,NA
"510_31",510,1,1,1,25,1,16,0,6,2,16560,0,1,9.71480581258949,26,NA,NA
"510_32",510,1,1,1,22,1,14,0,16,3,30678.89,0,1,10.3313626700771,23,NA,NA
"517_34",517,1,1,1,26,1,16,0,15,3,142255.67,0,1,11.8653882401687,28,3,3
"517_35",517,1,1,1,23,1,14,0,15,4,67179,0,1,11.1151308631663,25,NA,NA
"534_32",534,1,1,1,26,6,15,0,16,5,99187.44,0,0,11.5047767542245,28,NA,NA
"534_33",534,1,1,1,22,7,16,0,14,2,99187.44,0,0,11.5047767542245,24,NA,NA
"548_39",548,1,1,1,24,1,17,0,12,5,31249.87,0,1,10.349802494777,26,NA,NA
"548_40",548,1,1,2,24,1,17,0,15,3,66480,1,1,11.1046714715341,26,NA,NA
"548_41",548,1,1,1,22,1,15,0,11,3,69806.72,0,1,11.1534998843537,24,2,3
"548_42",548,1,1,1,22,1,12,0,11,4,69806.72,0,1,11.1534998843537,24,2,2
"556_37",556,0,3,1,24,1,12,0,13,1,53520.04,0,1,10.8878301266014,26,NA,NA
"557_34",557,1,1,1,23,1,12,0,9,3,44886.4,0,1,10.7119124107402,25,NA,NA
"557_35",557,1,1,2,19,1,13,0,14,4,18990,1,1,9.85172046171425,21,NA,NA
"563_46",563,1,1,1,23,2,11,0,15,3,51509.26,0,1,10.8495362901105,26,NA,NA
"563_51",563,0,3,1,18,3,11,0,13,4,37433.65,0,0,10.5303520250819,21,NA,NA
"563_52",563,1,1,2,17,6,12,0,9,3,35760,1,0,10.4846131931023,20,NA,NA
"563_53",563,0,3,2,16,7,10,NA,NA,NA,546840,1,0,13.2119133627327,18,NA,NA
"565_34",565,1,1,1,26,1,15,0,15,4,49824.58,0,1,10.8162837857558,28,NA,NA
"570_37",570,1,2,1,20,3,10,0,8,2,38239.3,0,0,10.5516452123228,22,NA,NA
"570_38",570,1,1,1,19,3,10,0,6,1,38239.3,0,0,10.5516452123228,21,3,3
"573_36",573,1,1,1,25,1,17,0,10,3,70760,0,1,11.167063280452,27,NA,NA
"582_35",582,1,1,1,17,7,11,0,14,3,44474,0,0,10.702682512534,20,3,3
"593_32",593,1,1,2,26,1,16,0,15,2,65733.8,1,1,11.0933837446069,28,NA,NA
"593_34",593,1,1,2,24,1,16,0,15,3,30051.88,1,1,10.3107137756372,25,NA,NA
"597_37",597,1,2,1,25,1,12,NA,NA,NA,30746.72,0,1,10.3335711241442,26,NA,NA
"602_35",602,1,1,1,25,1,7,NA,NA,NA,27102.75,0,1,10.2074273736784,28,NA,NA
"602_36",602,0,3,2,18,7,10,0,11,5,8800,1,0,9.08262063037381,21,NA,NA
"607_45",607,1,1,1,19,1,12,0,12,2,53156.12,0,1,10.8810073352874,21,NA,NA
"607_46",607,0,3,1,17,3,11,0,16,3,49440,0,0,10.8085353184642,20,NA,NA
"626_47",626,0,3,1,24,3,12,0,7,2,13132.02,0,0,9.48288494846529,26,NA,NA
"626_210",626,0,3,2,23,6,12,0,11,3,46392.91,1,0,10.7449234796003,25,NA,NA
"628_34",628,1,1,1,26,1,14,0,12,2,38288.68,0,1,10.552935687163,28,NA,NA
"631_37",631,1,1,2,21,1,12,0,9,4,36511.42,1,1,10.5054077556631,23,NA,NA
"632_32",632,1,2,2,16,1,11,NA,NA,NA,61069.06,1,1,11.0197770086958,19,NA,NA
"633_42",633,1,1,2,24,1,12,0,NA,2,63720,1,1,11.0622694575606,26,NA,NA
"633_43",633,1,1,2,20,1,12,0,14,3,17338,1,1,9.76071357854467,22,NA,NA
"641_33",641,1,1,1,17,7,12,0,15,3,26270,0,0,10.1762209481903,19,NA,NA
"647_35",647,1,1,2,21,7,12,0,9,3,48282.61,1,0,10.7848474445786,24,NA,NA
"647_38",647,1,1,2,16,1,10,NA,NA,NA,14024.06,1,1,9.54860100845661,18,NA,NA
"652_37",652,1,1,1,26,1,16,0,13,3,49457,0,1,10.8088791035413,28,NA,NA
"654_33",654,1,1,1,26,1,12,0,10,4,16180,0,1,9.69159299339981,27,NA,NA
"654_34",654,1,1,1,20,1,12,0,18,2,58928.37,0,1,10.9840948871249,22,NA,NA
"655_30",655,1,1,2,26,1,16,0,15,3,23787.78,1,1,10.0769693199308,28,NA,NA
"655_31",655,1,1,1,25,1,16,NA,NA,NA,22760,0,1,10.0328038240062,26,NA,NA
"672_31",672,1,1,2,16,3,10,NA,NA,NA,41471.73,1,0,10.6327913817947,18,NA,NA
"673_36",673,1,1,1,20,1,12,0,14,2,112560,0,1,11.6312505758995,22,NA,NA
"674_33",674,1,1,1,19,1,12,0,12,3,43500,0,1,10.6805392053183,21,NA,NA
"677_39",677,0,3,2,17,7,11,NA,NA,NA,37320,1,0,10.5273114498863,19,NA,NA
"691_35",691,1,1,1,26,7,NA,NA,NA,NA,68420,0,0,11.1334350740343,28,NA,NA
"691_36",691,1,1,2,25,1,16,0,15,3,65029.29,1,1,11.0826084403335,27,NA,NA
"691_37",691,0,3,2,20,7,14,0,13,4,30520,1,0,10.3261702502614,22,NA,NA
"707_32",707,1,1,2,25,1,15,0,14,3,38140,1,1,10.5490450980031,27,NA,NA
"707_33",707,1,1,1,22,1,12,0,14,3,35726.5,0,1,10.4836759793559,24,NA,NA
"709_39",709,1,1,1,26,1,14,0,13,3,22220,0,1,10.0087930666814,28,NA,NA
"709_40",709,1,1,2,24,3,12,0,12,3,34520,1,0,10.4493231134916,26,NA,NA
"709_41",709,1,1,1,19,3,11,0,14,4,60440,0,0,11.009422961584,22,2,2
"709_43",709,1,1,2,21,1,NA,0,5,5,49504.82,1,1,10.8098455174029,24,NA,NA
