"name","psid_code","role","recoded_to_missing"
"id_fam1968","ER30001","id",""
"id_person","ER30002","id",""
"sex","ER32000","pred","9"
"age_2021","ER34904","pred","0;999"
"emp_2021","ER34916","pred","0;9"
"educ_yrs_2021","ER34952","pred","0;99"
"days_unemp_2021","TA210562","pred","998;999"
"flourish_2021","TA212316","pred","99"
"soc_anxiety_2021","TA212318","pred","9"
"fam_expend_2021","ER85768","pred",""
"age_2023","ER35104","aux","0;999"
"emp_2023","ER35116","outcome","0;9"
"food_ranout_2023","TA230915","robust","0;9"
"food_notlast_2023","TA230916","robust","0;9"
