"concept","source","label","code_2019","code_2021","code_2023","n_waves"
"age","ER","AGE OF INDIVIDUAL                     23","ER34704","ER34904","ER35104",3
"interview_number","ER","2023 INTERVIEW NUMBER","ER34701","ER34901","ER35101",3
"num_in_fu","ER","# IN FU","ER72016","ER78016","ER82017",3
"relation_to_rp","ER","RELATION TO REFERENCE PERSON          23","ER34703","ER34903","ER35103",3
"sequence_number","ER","SEQUENCE NUMBER                       23","ER34702","ER34902","ER35102",3
"total_family_income","ER","TOTAL FAMILY INCOME-2022","ER77448","ER81775","ER85629",3
"1st_major_college_1","TA","G18X 1ST MAJOR--COLLEGE #1","TA190952","TA210990","TA231027",3
"communicative_talkative","TA","B19B COMMUNICATIVE, TALKATIVE","TA190085","TA210076","TA230077",3
"composite_or_total_act_score","TA","G14 COMPOSITE OR TOTAL ACT SCORE","TA190926","TA210963","TA230999",3
"considerate_kind_to_others","TA","B19N CONSIDERATE/KIND TO OTHERS","TA190096","TA210087","TA230088",3
"current_state","TA","CURRENT STATE","TA192196","TA212391","TA232398",3
"eager_for_knowledge","TA","B19Q EAGER FOR KNOWLEDGE","TA190099","TA210090","TA230091",3
"effective_efficient_complete_task","TA","B19L EFFECTIVE/EFFICIENT COMPLETE TASK","TA190094","TA210085","TA230086",3
"forgiving","TA","B19F FORGIVING","TA190089","TA210080","TA230081",3
"grade_level_completed","TA","G5 GRADE LEVEL COMPLETED","TA190917","TA210954","TA230990",3
"high_school_grade_point_avg","TA","G7 HIGH SCHOOL GRADE POINT AVG","TA190919","TA210956","TA230992",3
"how_often_watched_or_read_news","TA","A16A HOW OFTEN WATCHED OR READ NEWS","TA190041","TA210040","TA230040",3
"imaginative","TA","B19O IMAGINATIVE","TA190097","TA210088","TA230089",3
"nervous","TA","B19K NERVOUS","TA190093","TA210084","TA230085",3
"of_hours_of_sleep_in_24_hr_period","TA","H82 # OF HOURS OF SLEEP IN 24-HR PERIOD","TA191960","TA212068","TA232121",3
"original_come_up_w_new_ideas","TA","B19D ORIGINAL, COME UP W/NEW IDEAS","TA190087","TA210078","TA230079",3
"outgoing_sociable","TA","B19H OUTGOING, SOCIABLE","TA190091","TA210082","TA230083",3
"race_mention_1","TA","L7 RACE MENTION #1","TA192131","TA212252","TA232303",3
"relaxed_able_to_deal_w_stress","TA","B19P RELAXED, ABLE TO DEAL W/STRESS","TA190098","TA210089","TA230090",3
"reserved","TA","B19M RESERVED","TA190095","TA210086","TA230087",3
"sometimes_rude_to_others","TA","B19C SOMETIMES RUDE TO OTHERS","TA190086","TA210077","TA230078",3
"somewhat_lazy","TA","B19G SOMEWHAT LAZY","TA190090","TA210081","TA230082",3
"thorough_worker","TA","B19A THOROUGH WORKER","TA190084","TA210075","TA230076",3
"value_artistic_aesthetic_exper","TA","B19J VALUE ARTISTIC, AESTHETIC EXPER","TA190092","TA210083","TA230084",3
"worrier","TA","B19E WORRIER","TA190088","TA210079","TA230080",3
"wtr_add_adhd","TA","H12B WTR ADD/ADHD","TA191061","TA211170","TA231223",3
"wtr_anxiety","TA","H12B WTR ANXIETY","TA191055","TA211164","TA231217",3
"wtr_autism_spectrum_disorder","TA","H12B WTR AUTISM SPECTRUM DISORDER","TA191063","TA211172","TA231225",3
"wtr_bipolar_disorder","TA","H12B WTR BIPOLAR DISORDER","TA191053","TA211162","TA231215",3
"wtr_currently_working","TA","D76CKPT WTR CURRENTLY WORKING","TA190577","TA210580","TA230603",3
"wtr_depression","TA","H12B WTR DEPRESSION","TA191052","TA211161","TA231214",3
"wtr_did_volunteer_work","TA","A13 WTR DID VOLUNTEER WORK","TA190029","TA210028","TA230028",3
"wtr_drink_alcohol","TA","H103 WTR DRINK ALCOHOL","TA191986","TA212094","TA232147",3
"wtr_ever_had_asthma","TA","H7 WTR EVER HAD ASTHMA","TA191011","TA211120","TA231173",3
"wtr_ever_had_cancer","TA","H11 WTR EVER HAD CANCER","TA191030","TA211139","TA231192",3
"wtr_ever_had_diabetes","TA","H8 WTR EVER HAD DIABETES","TA191019","TA211128","TA231181",3
"wtr_ever_had_emotional_psych_probs","TA","H12 WTR EVER HAD EMOTIONAL/PSYCH PROBS","TA191049","TA211158","TA231211",3
