"treatment","ATE","SE","p_value","mse_outcome","mse_treatment","group","learner","sig"
"health_score",0.0037,0.0114,0.7445,0.2165,0.9421,"Health & Social","LASSO",""
"social_media",-0.0169,0.0117,0.1509,0.2171,0.9282,"Health & Social","LASSO",""
"volunteered",0.0517,0.0254,0.0421,0.2213,0.5034,"Health & Social","LASSO","**"
"sx_anx_lag",-0.019,0.0114,0.0958,0.215,0.8854,"Lagged Wellbeing","LASSO","*"
"wb_emo_lag",-0.0075,0.0134,0.5745,0.215,0.6678,"Lagged Wellbeing","LASSO",""
"wb_psy_lag",0.0116,0.013,0.3744,0.2149,0.6687,"Lagged Wellbeing","LASSO",""
"wb_soc_lag",5e-04,0.0107,0.9624,0.215,0.9745,"Lagged Wellbeing","LASSO",""
"resp_bills",0.0507,0.0249,0.0415,0.2149,0.186,"Responsibility Attitudes","LASSO","**"
"resp_earn",0.1073,0.0238,0,0.2152,0.1954,"Responsibility Attitudes","LASSO","***"
"resp_money",-0.099,0.0215,0,0.215,0.216,"Responsibility Attitudes","LASSO","***"
"resp_rent",0.0159,0.0209,0.446,0.2148,0.2558,"Responsibility Attitudes","LASSO",""
